accuracy,balanced_accuracy,f1_weighted,cohen_kappa,ece,brier_score,auroc,n_test,subject,method,n_train,time_s,status
0.7111111111111111,0.7065217391304348,0.6976046176046176,0.41674975074775666,0.6867650836611922,0.2480062706532585,0.6600790513833992,45,1,LogVar+LDA,1305,2.38,OK
0.6888888888888889,0.6857707509881423,0.6822762033288348,0.37375745526838966,0.7336265502490795,0.1960795149796139,0.7766798418972333,45,2,LogVar+LDA,1305,2.52,OK
0.4888888888888889,0.48616600790513836,0.481179822356293,-0.027805362462760774,0.6968769449889711,0.31979894877663284,0.4407114624505929,45,3,LogVar+LDA,1305,2.34,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.9821178836214888,0.48873059045610184,0.7154150197628458,45,4,LogVar+LDA,1305,2.36,OK
0.5333333333333333,0.5,0.3710144927536232,0.0,0.984217011728837,0.44231085152780475,0.7638888888888888,45,5,LogVar+LDA,1305,2.37,OK
0.6,0.6041666666666666,0.599209486166008,0.20588235294117652,0.7235734431622622,0.2540449037180033,0.6468253968253969,45,6,LogVar+LDA,1305,2.36,OK
0.7555555555555555,0.7529644268774703,0.7518686106921402,0.5084409136047666,0.7384237245093039,0.180176694002871,0.8122529644268774,45,7,LogVar+LDA,1305,2.36,OK
0.6888888888888889,0.6847826086956521,0.6773662551440329,0.37250996015936255,0.7249696705515661,0.23713689474381405,0.6956521739130436,45,8,LogVar+LDA,1305,2.37,OK
0.5555555555555556,0.5238095238095238,0.4188948306595366,0.05063291139240522,0.8861914879918604,0.36196713447452655,0.5119047619047619,45,9,LogVar+LDA,1305,2.4,OK
0.5777777777777777,0.6011904761904762,0.5228357936941862,0.19263456090651554,0.748315648304193,0.30292552732253747,0.619047619047619,45,10,LogVar+LDA,1305,2.37,OK
0.5333333333333333,0.5276679841897234,0.5005847953216375,0.05594405594405605,0.7252244976613771,0.3094274888789855,0.5395256916996047,45,11,LogVar+LDA,1305,2.35,OK
0.5111111111111111,0.5386904761904762,0.41536098310291864,0.0730337078651686,0.8281366722608756,0.3691100606381313,0.6111111111111112,45,12,LogVar+LDA,1305,2.34,OK
0.5111111111111111,0.5217391304347826,0.36851851851851847,0.04255319148936154,0.918758850325849,0.4298195363551217,0.5118577075098815,45,13,LogVar+LDA,1305,2.37,OK
0.4888888888888889,0.49703557312252966,0.41030086049871245,-0.005830903790087438,0.7803076373279997,0.37106100417039073,0.47233201581027673,45,14,LogVar+LDA,1305,2.33,OK
0.6444444444444445,0.6403162055335968,0.6312757201646092,0.2828685258964143,0.7045120939513133,0.2297744344152655,0.6956521739130435,45,15,LogVar+LDA,1305,2.41,OK
0.4888888888888889,0.47924901185770746,0.36936752136752143,-0.04229607250755274,0.8207564646706536,0.37393571688003535,0.45849802371541504,45,16,LogVar+LDA,1305,2.46,OK
0.6,0.599802371541502,0.6,0.1996047430830039,0.7012736467956595,0.21995587097565691,0.7114624505928854,45,17,LogVar+LDA,1305,2.36,OK
0.6222222222222222,0.6225296442687747,0.6222222222222222,0.24481737413622906,0.6565862994390713,0.24594384082815435,0.642292490118577,45,18,LogVar+LDA,1305,2.33,OK
0.4888888888888889,0.4782608695652174,0.33565505804311774,-0.044399596367305616,0.897908624518374,0.3970673778043957,0.5553359683794465,45,19,LogVar+LDA,1305,2.38,OK
0.5111111111111111,0.5108695652173914,0.5111111111111111,0.021739130434782483,0.7208071986996762,0.27198850973003447,0.5830039525691699,45,20,LogVar+LDA,1305,2.34,OK
0.5555555555555556,0.5565476190476191,0.5559947299077733,0.1124260355029586,0.746195218477976,0.2766829026031767,0.6051587301587302,45,21,LogVar+LDA,1305,2.32,OK
0.5777777777777777,0.5691699604743083,0.5018224573780129,0.14070351758793986,0.8479360229264721,0.34747411252670435,0.5513833992094861,45,22,LogVar+LDA,1305,2.92,OK
0.5555555555555556,0.5503952569169961,0.5298786181139122,0.10179640718562866,0.7526213467831345,0.286011293389357,0.5988142292490118,45,23,LogVar+LDA,1305,2.35,OK
0.5111111111111111,0.5,0.34575163398692815,0.0,0.9457683283317184,0.4400450962599163,0.5553359683794467,45,24,LogVar+LDA,1305,2.29,OK
0.5333333333333333,0.5286561264822134,0.5115151515151516,0.05782652043868386,0.6836046479078937,0.2774688060731112,0.5830039525691699,45,25,LogVar+LDA,1305,2.34,OK
0.6888888888888889,0.6726190476190476,0.6670977011494252,0.35582822085889576,0.7428355867788459,0.2293291245879667,0.7400793650793651,45,26,LogVar+LDA,1305,2.36,OK
0.5333333333333333,0.5355731225296443,0.5286875725900115,0.07079646017699126,0.7740402963730887,0.3019450968484875,0.575098814229249,45,27,LogVar+LDA,1305,2.37,OK
0.5777777777777777,0.5800395256916996,0.573574470438582,0.15929203539823011,0.7136312158673446,0.2645472378176132,0.6067193675889329,45,28,LogVar+LDA,1305,4.23,OK
0.5555555555555556,0.5622529644268774,0.5119731800766284,0.12280701754385959,0.812859787687424,0.2920549837508527,0.7332015810276681,45,29,LogVar+LDA,1305,2.62,OK
0.5111111111111111,0.5119047619047619,0.5115942028985507,0.02366863905325456,0.7139937206270712,0.2773904953080409,0.5912698412698413,45,30,LogVar+LDA,1305,3.63,OK
0.6888888888888889,0.6857707509881423,0.6822762033288348,0.37375745526838966,0.6698842003119373,0.21426446086715542,0.7154150197628458,45,1,FBCSP+LDA,1305,34.35,OK
0.5333333333333333,0.5266798418972332,0.48689630034627296,0.05405405405405417,0.7052224937619107,0.2400218548655915,0.7094861660079052,45,2,FBCSP+LDA,1305,34.68,OK
0.5111111111111111,0.5069169960474308,0.4930041152263374,0.013944223107569709,0.6675789952596685,0.2556405211421537,0.6304347826086956,45,3,FBCSP+LDA,1305,33.37,OK
0.5333333333333333,0.5365612648221344,0.5234791352438412,0.07262021589793921,0.6919331150108233,0.2783209125357437,0.5731225296442688,45,4,FBCSP+LDA,1305,34.48,OK
0.5333333333333333,0.5327380952380952,0.5337951509153884,0.06528189910979221,0.65453656445683,0.25409728048863595,0.5773809523809524,45,5,FBCSP+LDA,1305,38.78,OK
0.4222222222222222,0.4285714285714286,0.417063492063492,-0.14035087719298245,0.6883683899984913,0.31421632449754777,0.46031746031746035,45,6,FBCSP+LDA,1305,33.45,OK
0.5777777777777777,0.5770750988142292,0.5773599428225851,0.1543026706231453,0.6953788728655884,0.24152027048522082,0.6561264822134387,45,7,FBCSP+LDA,1305,33.6,OK
0.5333333333333333,0.5345849802371542,0.5319478805871681,0.06896551724137934,0.6545769694220702,0.2599967469989852,0.5770750988142292,45,8,FBCSP+LDA,1305,33.65,OK
0.5333333333333333,0.5327380952380952,0.5337951509153884,0.06528189910979221,0.6865705529628469,0.2887323754825363,0.5198412698412699,45,9,FBCSP+LDA,1305,37.28,OK
0.5333333333333333,0.5238095238095237,0.523814380418154,0.048338368580060465,0.702591493303425,0.2599702368063909,0.5932539682539681,45,10,FBCSP+LDA,1305,33.62,OK
0.5777777777777777,0.5701581027667983,0.5204949437849381,0.14242728184553677,0.7099259939333168,0.26834523046337994,0.6106719367588932,45,11,FBCSP+LDA,1305,34.08,OK
0.4444444444444444,0.4583333333333333,0.4195138534761177,-0.08069164265129691,0.6834780987944717,0.2939348023530045,0.5099206349206349,45,12,FBCSP+LDA,1305,33.94,OK
0.6,0.6027667984189724,0.594,0.20432220039292737,0.7167884444555233,0.25971984614875465,0.6264822134387352,45,13,FBCSP+LDA,1305,37.8,OK
0.6,0.5988142292490118,0.5988095238095238,0.19801980198019797,0.685563306629103,0.2373307069194038,0.658102766798419,45,14,FBCSP+LDA,1305,33.26,OK
0.6222222222222222,0.6185770750988142,0.611434075585019,0.23880597014925364,0.6777022703219359,0.2539831820830451,0.6264822134387351,45,15,FBCSP+LDA,1305,33.2,OK
0.5333333333333333,0.5237154150197628,0.42420512820512823,0.048338368580060576,0.8261366911691422,0.36648533331443983,0.5138339920948616,45,16,FBCSP+LDA,1305,33.5,OK
0.6,0.6007905138339921,0.599604743083004,0.20118343195266275,0.69767590991316,0.271206086793437,0.6027667984189724,45,17,FBCSP+LDA,1305,34.72,OK
0.6,0.6047430830039526,0.5814814814814814,0.207436399217221,0.6473005027590139,0.22765038085424677,0.6798418972332017,45,18,FBCSP+LDA,1305,39.31,OK
0.5555555555555556,0.5642292490118577,0.4772145417306708,0.12621359223300954,0.7238668341718502,0.22777420375275337,0.8280632411067194,45,19,FBCSP+LDA,1305,33.46,OK
0.5777777777777777,0.5701581027667983,0.5204949437849381,0.14242728184553677,0.7565128099565628,0.2971095961044123,0.5731225296442688,45,20,FBCSP+LDA,1305,34.26,OK
0.5333333333333333,0.5505952380952381,0.5018181818181818,0.09742120343839533,0.6974184145640019,0.28330288358241656,0.6170634920634921,45,21,FBCSP+LDA,1305,34.18,OK
0.6,0.5948616600790514,0.5768907563025211,0.19161676646706582,0.6916807122059749,0.28608057531274367,0.5276679841897233,45,22,FBCSP+LDA,1305,39.13,OK
0.5777777777777777,0.5731225296442688,0.558037518037518,0.14755732801595212,0.6901309566002698,0.2410297109617519,0.6679841897233202,45,23,FBCSP+LDA,1305,38.4,OK
0.5111111111111111,0.5128458498023716,0.5082010582010582,0.025590551181102428,0.6825530842014561,0.2808276352008591,0.549407114624506,45,24,FBCSP+LDA,1305,40.05,OK
0.5333333333333333,0.5237154150197628,0.42420512820512823,0.048338368580060576,0.7603441843569014,0.2957827971888659,0.6185770750988142,45,25,FBCSP+LDA,1305,37.83,OK
0.7333333333333333,0.7202380952380952,0.7210084033613445,0.4512195121951219,0.7641829771762791,0.20823281239465,0.7321428571428572,45,26,FBCSP+LDA,1305,39.98,OK
0.5333333333333333,0.5424901185770751,0.4395061728395062,0.08341416100872945,0.7886922043234467,0.30667839714544076,0.7154150197628459,45,27,FBCSP+LDA,1305,34.87,OK
0.6222222222222222,0.6235177865612648,0.6211006652372313,0.24630541871921185,0.7150418012791453,0.24665998925538293,0.642292490118577,45,28,FBCSP+LDA,1305,35.32,OK
0.5777777777777777,0.5869565217391304,0.4928865373309817,0.17070805043646942,0.8009269180328373,0.2838415858665359,0.7905138339920948,45,29,FBCSP+LDA,1305,32.49,OK
0.5777777777777777,0.5714285714285714,0.5739567621920563,0.14414414414414412,0.6950934544509122,0.24648796585084554,0.619047619047619,45,30,FBCSP+LDA,1305,38.78,OK
0.5111111111111111,0.5207509881422925,0.399465811965812,0.0406976744186045,0.6301251459979145,0.25302047846239706,0.6719367588932808,45,1,Riemann-MDM,1305,9.36,OK
0.5333333333333333,0.5227272727272727,0.39342418343067276,0.046417759838547124,0.7315755140384698,0.25579567181712787,0.816205533596838,45,2,Riemann-MDM,1305,8.96,OK
0.5555555555555556,0.5573122529644269,0.5529100529100529,0.11417322834645671,0.5707366814497681,0.25033940772681135,0.5573122529644269,45,3,Riemann-MDM,1305,8.54,OK
0.6888888888888889,0.6857707509881423,0.6822762033288348,0.37375745526838966,0.5581609885094976,0.21933246527470857,0.7766798418972332,45,4,Riemann-MDM,1305,8.77,OK
0.5333333333333333,0.5059523809523809,0.43569230769230766,0.01253918495297801,0.5682581426089435,0.24107625383063405,0.6587301587301587,45,5,Riemann-MDM,1305,8.76,OK
0.5333333333333333,0.5327380952380952,0.5337951509153884,0.06528189910979221,0.5679149043349287,0.24434119239216273,0.5654761904761905,45,6,Riemann-MDM,1305,11.74,OK
0.5555555555555556,0.5454545454545454,0.43771043771043777,0.092741935483871,0.6795144235803863,0.22700936592637996,0.8794466403162056,45,7,Riemann-MDM,1305,8.33,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.7117864766717004,0.2761300618019946,0.6936758893280632,45,8,Riemann-MDM,1305,8.79,OK
0.4666666666666667,0.5,0.29696969696969694,0.0,0.9950834937635408,0.527692253855908,0.5932539682539683,45,9,Riemann-MDM,1305,8.51,OK
0.4888888888888889,0.5208333333333334,0.3442051282051282,0.03899721448467952,0.69815755208888,0.28777188705126466,0.6349206349206349,45,10,Riemann-MDM,1305,8.67,OK
0.5111111111111111,0.5,0.34575163398692815,0.0,0.7161698228464777,0.28630148295049973,0.5909090909090909,45,11,Riemann-MDM,1305,10.46,OK
0.4888888888888889,0.5208333333333334,0.3442051282051282,0.03899721448467952,0.8989849421123745,0.42248306053564266,0.6011904761904763,45,12,Riemann-MDM,1305,8.61,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.9641319343769024,0.47175684851263444,0.5889328063241106,45,13,Riemann-MDM,1305,8.61,OK
0.5111111111111111,0.5217391304347826,0.36851851851851847,0.04255319148936154,0.6440529446677201,0.2469850409162763,0.7430830039525692,45,14,Riemann-MDM,1305,8.7,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.7908949548474004,0.30729083324695217,0.8656126482213439,45,15,Riemann-MDM,1305,8.64,OK
0.5777777777777777,0.5760869565217391,0.5752557933742604,0.15262636273538155,0.5808948737513773,0.2500677847076025,0.5632411067193676,45,16,Riemann-MDM,1305,9.39,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.9041285916006696,0.41980455100662883,0.5948616600790513,45,17,Riemann-MDM,1305,8.49,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.9864013857983985,0.4966647961924796,0.6126482213438735,45,18,Riemann-MDM,1305,8.67,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.8556869851294231,0.3700565589222201,0.6857707509881423,45,19,Riemann-MDM,1305,8.77,OK
0.5111111111111111,0.5,0.34575163398692815,0.0,0.9079224058505404,0.399841134931079,0.6798418972332015,45,20,Riemann-MDM,1305,9.49,OK
0.6,0.5714285714285714,0.5045454545454545,0.15094339622641517,0.6112923869907928,0.2212570728007727,0.8234126984126984,45,21,Riemann-MDM,1305,11.65,OK
0.5111111111111111,0.5,0.34575163398692815,0.0,0.7188658664732174,0.2811294871643435,0.6343873517786561,45,22,Riemann-MDM,1305,10.14,OK
0.6666666666666666,0.6610671936758893,0.6432748538011696,0.32567432567432575,0.5645115304062225,0.22111585219091734,0.816205533596838,45,23,Riemann-MDM,1305,10.1,OK
0.5555555555555556,0.5474308300395256,0.48591909882232465,0.09638554216867468,0.6103125080804003,0.25282571374188423,0.5928853754940712,45,24,Riemann-MDM,1305,9.99,OK
0.5111111111111111,0.5217391304347826,0.36851851851851847,0.04255319148936154,0.7142519882573096,0.27783589476883763,0.7687747035573123,45,25,Riemann-MDM,1305,10.08,OK
0.6444444444444445,0.6220238095238095,0.5956989247311828,0.25465838509316774,0.620488272396603,0.21830861991549222,0.7420634920634921,45,26,Riemann-MDM,1305,14.03,OK
0.4888888888888889,0.4980237154150198,0.3861258083480306,-0.0038797284190106307,0.6369294600595622,0.24840216882431118,0.6857707509881423,45,27,Riemann-MDM,1305,11.06,OK
0.6,0.607707509881423,0.5466666666666667,0.21206225680933843,0.5659397601082864,0.2343107227373406,0.7015810276679841,45,28,Riemann-MDM,1305,9.86,OK
0.4888888888888889,0.5,0.32106135986733003,0.0,0.6762515269077272,0.2420298630511495,0.8735177865612649,45,29,Riemann-MDM,1305,9.86,OK
0.6222222222222222,0.625,0.6222222222222222,0.24778761061946908,0.5439629770736439,0.23314674386059256,0.7162698412698413,45,30,Riemann-MDM,1305,13.79,OK
0.7555555555555555,0.7559288537549407,0.7555555555555555,0.5113524185587365,0.6428566895264244,0.16759889148895193,0.8735177865612649,45,1,Riemann-TS+SVM,1305,18.48,OK
0.8888888888888888,0.8863636363636364,0.8872130048600637,0.7765640516385303,0.6533585412204007,0.15183075947673058,0.9347826086956523,45,2,Riemann-TS+SVM,1305,18.05,OK
0.5777777777777777,0.575098814229249,0.571409418468242,0.15094339622641506,0.6384019650581935,0.2506605381937168,0.6007905138339921,45,3,Riemann-TS+SVM,1305,18.19,OK
0.6666666666666666,0.6660079051383399,0.6663367969651988,0.33234421364985156,0.6027671751878174,0.21190893132783806,0.7628458498023716,45,4,Riemann-TS+SVM,1305,18.38,OK
0.4888888888888889,0.49404761904761907,0.48635988784430145,-0.011730205278592365,0.5865517548893654,0.248887263495388,0.552579365079365,45,5,Riemann-TS+SVM,1305,19.55,OK
0.5333333333333333,0.5476190476190476,0.5123916369199387,0.09221902017291062,0.6106562621336047,0.24380608165180184,0.6884920634920636,45,6,Riemann-TS+SVM,1305,18.54,OK
0.8222222222222222,0.8181818181818181,0.8156378600823045,0.6414342629482072,0.6358829292434011,0.15907471512543106,0.9703557312252965,45,7,Riemann-TS+SVM,1305,19.15,OK
0.7111111111111111,0.7134387351778657,0.708235163984293,0.4247787610619469,0.6028126566700059,0.19977114419986491,0.8122529644268774,45,8,Riemann-TS+SVM,1305,19.61,OK
0.6444444444444445,0.6369047619047619,0.6394062078272604,0.27710843373493976,0.6267892115833599,0.20599777734499208,0.7678571428571428,45,9,Riemann-TS+SVM,1305,18.12,OK
0.6666666666666666,0.6696428571428572,0.6666666666666666,0.33628318584070804,0.6485335483018134,0.19775817295989961,0.7738095238095238,45,10,Riemann-TS+SVM,1305,19.37,OK
0.7111111111111111,0.708498023715415,0.7067538126361655,0.4190665342601787,0.589960658865621,0.2166215321152865,0.7628458498023716,45,11,Riemann-TS+SVM,1305,18.94,OK
0.4888888888888889,0.5208333333333334,0.3442051282051282,0.03899721448467952,0.744579964757916,0.2852314136034734,0.8115079365079365,45,12,Riemann-TS+SVM,1305,18.45,OK
0.6888888888888889,0.6936758893280632,0.6744855967078189,0.3835616438356164,0.6787948845271781,0.20899983319081264,0.7747035573122529,45,13,Riemann-TS+SVM,1305,18.0,OK
0.6444444444444445,0.6511857707509882,0.6095785440613026,0.29824561403508765,0.6248751561442152,0.21317770466692118,0.8053359683794467,45,14,Riemann-TS+SVM,1305,17.94,OK
0.8222222222222222,0.8241106719367588,0.8211640211640212,0.6456692913385826,0.691125953696622,0.1415475663629418,0.9169960474308301,45,15,Riemann-TS+SVM,1305,19.24,OK
0.5555555555555556,0.5533596837944664,0.551111111111111,0.1071428571428571,0.6425718131763188,0.24640125232147245,0.6047430830039525,45,16,Riemann-TS+SVM,1305,22.01,OK
0.6888888888888889,0.6897233201581028,0.6885814668423363,0.37869822485207105,0.6316793222845762,0.2043743704374754,0.7579051383399209,45,17,Riemann-TS+SVM,1305,18.26,OK
0.6666666666666666,0.6729249011857708,0.6390217969165337,0.3414634146341463,0.6408142106474694,0.199537789864949,0.8616600790513834,45,18,Riemann-TS+SVM,1305,18.04,OK
0.6666666666666666,0.6719367588932806,0.6476190476190476,0.3401759530791789,0.6791192515614807,0.2076467700787975,0.8320158102766798,45,19,Riemann-TS+SVM,1305,19.46,OK
0.6888888888888889,0.6897233201581028,0.6885814668423363,0.37869822485207105,0.6384570822967696,0.21431684506060722,0.733201581027668,45,20,Riemann-TS+SVM,1305,22.07,OK
0.5333333333333333,0.5595238095238095,0.4531373657433578,0.11267605633802813,0.7236940353598159,0.2570744592180461,0.7797619047619048,45,21,Riemann-TS+SVM,1305,25.42,OK
0.5111111111111111,0.5158102766798419,0.48847736625514404,0.03131115459882572,0.6335839080603354,0.23275565060701553,0.6837944664031621,45,22,Riemann-TS+SVM,1305,20.59,OK
0.7555555555555555,0.7519762845849802,0.7485749900844241,0.5074626865671641,0.6759863247006614,0.1659131055213915,0.8814229249011858,45,23,Riemann-TS+SVM,1305,20.48,OK
0.6444444444444445,0.6482213438735178,0.6343679712100764,0.2941176470588236,0.5948188513471963,0.24109095792146396,0.6284584980237153,45,24,Riemann-TS+SVM,1305,20.35,OK
0.6888888888888889,0.6857707509881423,0.6822762033288348,0.37375745526838966,0.6336958682447871,0.21025395589289425,0.7608695652173914,45,25,Riemann-TS+SVM,1305,21.95,OK
0.7555555555555555,0.7380952380952381,0.7349735739019502,0.4923076923076922,0.6698004722314094,0.16207479525795054,0.9325396825396826,45,26,Riemann-TS+SVM,1305,21.19,OK
0.5555555555555556,0.5632411067193676,0.4962962962962963,0.12451361867704269,0.6896479618130433,0.2450049548692659,0.7529644268774704,45,27,Riemann-TS+SVM,1305,21.94,OK
0.5333333333333333,0.5365612648221344,0.5234791352438412,0.07262021589793921,0.651348485536328,0.25128826662326936,0.6284584980237155,45,28,Riemann-TS+SVM,1305,22.18,OK
0.7777777777777778,0.7826086956521738,0.7674897119341564,0.5596868884540117,0.6822540063032183,0.17751868149779507,0.9189723320158103,45,29,Riemann-TS+SVM,1305,20.25,OK
0.6666666666666666,0.6547619047619048,0.6545454545454545,0.31610942249240126,0.5783367883091804,0.2225021708608145,0.7420634920634921,45,30,Riemann-TS+SVM,1305,27.81,OK
